id,content,,
9.82795031152152E+017,"RT @realFireNunes: .@devinnunes starts ignoring his constituents early on -right at voting age!

He was a no-show at the #MarchForOurLives…",,
9.82795004304388E+017,"RT @IWillRedPillU: President Trump to Skip the ''So Fake'' Washington Correspondents Dinner ������
Liberals Losing Their Minds-
#AQuietPlace #Fr…",,
9.82794838990082E+017,RT @MAGr8A_: Here we have the liberal mind. Totally devoid of rational thought... #2A #ShallNotBeInfringed #NRA #MarchForOurLives #ProLife…,,
9.82794782610162E+017,"RT @BebeRexha: Hi my babies. I’m on my way to Washington DC. Just got on the plane. Performing tomorrow with g eazy, fall out boy, Lizzo an…",,
9.82794747743036E+017,"RT @AReasonableMom: Hockey players from #MarjoryStonemanDouglas were still able to speak at the #MarchForOurLives in St. Paul, Minnesota ev…",,
9.8279472235479E+017,RT @TedDeutch: #FlashbackFriday to chatting with Kyle Laman the night before the #MarchForOurLives.  Kyle is a hero. He helped identify the…,,
9.82794714888864E+017,"RT @AMarch4OurLives: 1,300 children shot to death every year in the United States. We cannot let this statistic be normalized in our societ…",,
9.82794697914499E+017,RT @tkocreative: Here on Staten Island #NY11TownHall @Ryan_Deitsch came from Florida to speak to the constituents as @dandonovan_ny has fai…,,
9.82794621460865E+017,"RT @AMarch4OurLives: 1,300 children shot to death every year in the United States. We cannot let this statistic be normalized in our societ…",,
9.82794618365469E+017,"RT @cameron_kasky: A formal, well-produced, totally not unscripted message from #MarchForOurLives https://t.co/Velxih8q3B",,
9.82794597310091E+017,RT @Camila_Cabello: tomorrow is #marchforourlives and it is SO important that we all join in and fight for change. no one should fear for t…,,
9.82794520080286E+017,"RT @SandraTXAS: The government cannot be trusted to protect us:

Parkland shooting hero blames sheriff and superintendent for failing to pr…",,
9.82794456662401E+017,"RT @realFireNunes: .@devinnunes starts ignoring his constituents early on -right at voting age!

He was a no-show at the #MarchForOurLives…",,
9.82794445996413E+017,RT @tkocreative: Here on Staten Island #NY11TownHall @Ryan_Deitsch came from Florida to speak to the constituents as @dandonovan_ny has fai…,,
9.82794375825539E+017,RT @ShawnMendes: #MarchForOurLives today. unbelievably inspiring. Wow ❤️,,
9.82794361346732E+017,"RT @Emma4Change: The best signs at the #MarchForOurLives by Teen Vogue - tell me why im cryin in this car at 7:30 in the got dam morning
ht…",,
9.82794279922885E+017,"Brilliant #MarchForOurLives 
@njyouth07 https://t.co/sXqDOm3CW9",,
9.82794249832882E+017,"RT @MichaelSkolnik: Emma Gonzalez. 

The entire speech. 

Watch. All. Of. It. 

#MarchForOurLives 

https://t.co/AK47lWEkAM",,
9.82794225916854E+017,"RT @AMarch4OurLives: 1,300 children shot to death every year in the United States. We cannot let this statistic be normalized in our societ…",,
9.82794204094058E+017,RT @Dennis_Kucinich: I am proud of my F-rating with the NRA &amp  humbled by the incredible support for my #OHgov candidacy expressed by fellow…,,
9.82794160175366E+017,"RT @nowthisnews: Over 800,000 came out for #MarchForOurLives in DC, with hundreds of thousands more rallying throughout the nation https://…",,
9.82794064981582E+017,"RT @cameron_kasky: A formal, well-produced, totally not unscripted message from #MarchForOurLives https://t.co/Velxih8q3B",,
9.82794060841693E+017,"@Newsweek Seems like all the #Republicucks have been shooting school kids, Democratic representatives, endangered s… https://t.co/I87iG2QjR8",,
9.8279404187505E+017,"RT @ProudResister: The NRA’s agenda is more gun sales.

The GOP’s agenda is more NRA money.

The Student’s agenda is to not get shot.

The…",,
9.82794029640442E+017,RT @milliebbrown: Thank you to all the fans who voted for me and for Stranger Things at Nickelodeon Kids Choice Awards today. A big ������������ also…,,
9.8279402792484E+017,"RT @washdems: Great conversation between @DNC Deputy Chair Keith Ellison, WA State Dems Chair @Tinapo, and some of the Seattle students lea…",,
9.82794010635985E+017,"RT @CalvinKlein: On this history making day, @milliebbrown declares her support for @amarch4ourlives at the Kids’ Choice Awards in Los Ange…",,
9.82793979530969E+017,RT @DaShanneStokes: More guns have been found in research to correlate with increased violence and shootings. Guns are a major part of the…,,
9.82793975009395E+017,"RT @AMarch4OurLives: 1,300 children shot to death every year in the United States. We cannot let this statistic be normalized in our societ…",,
